seq,case_id,activity_id,timestamp,resource_id,outcome,shot_type,shot_distance_by_foot,shot_points,score_board_dal,score_board_bos
1,play_1,dribble,20:00:00,Jaylen Brown,1,NA,NA,NA,0,0
2,play_1,pass,20:00:05,Jaylen Brown,0,NA,NA,NA,0,0
3,play_1,pass,20:00:06,Jayson Tatum,1,NA,NA,NA,0,0
4,play_1,dribble,20:00:10,Derrick White,1,NA,NA,NA,0,0
5,play_1,pass,20:00:12,Derrick White,1,NA,NA,NA,0,0
6,play_1,dribble,20:00:14,Jayson Tatum,1,NA,NA,NA,0,0
7,play_1,pass-to-assist,20:00:14,Jayson Tatum,1,NA,NA,NA,0,0
8,play_1,dribble,20:00:15,Jrue Holiday,1,NA,NA,NA,0,0
9,play_1,shot,20:00:20,Jrue Holiday,1,driving layup,1,2,0,2
10,play_2,pass,20:00:20,Daniel Gafford,1,NA,NA,NA,0,2
11,play_2,dribble,20:00:22,Derrick Jones Jr.,1,NA,NA,NA,0,2
12,play_2,pass,20:00:32,Derrick Jones Jr.,1,NA,NA,NA,0,2
13,play_2,dribble,20:00:33,Luka Doncic,1,NA,NA,NA,0,2
14,play_2,shot,20:00:37,Luka Doncic,0,step back jump shot,27,3,0,2
15,play_3,defensive-rebound,20:00:38,Jayson Tatum,1,NA,NA,NA,0,2
16,play_3,pass,20:00:39,Jayson Tatum,1,NA,NA,NA,0,2
17,play_3,dribble,20:00:40,Derrick White,1,NA,NA,NA,0,2
18,play_3,pass,20:00:42,Derrick White,1,NA,NA,NA,0,2
19,play_3,dribble,20:00:43,Jaylen Brown,1,NA,NA,NA,0,2
20,play_3,foul,20:00:44,Luka Doncic,1,NA,NA,NA,0,2
21,play_3,pass,20:00:44,Jayson Tatum,1,NA,NA,NA,0,2
22,play_3,dribble,20:00:45,Jaylen Brown,1,NA,NA,NA,0,2
23,play_3,pass,20:00:47,Jaylen Brown,1,NA,NA,NA,0,2
24,play_3,pass,20:00:48,Al Horford,1,NA,NA,NA,0,2
25,play_3,dribble,20:00:49,Jaylen Brown,1,NA,NA,NA,0,2
26,play_3,shot,20:00:55,Jaylen Brown,0,pull up jump shot,31,3,0,2
27,play_4,defensive-rebound,20:00:57,Luka Doncic,1,NA,NA,NA,0,2
28,play_4,dribble,20:00:58,Luka Doncic,0,NA,NA,NA,0,2
29,play_4,steal,20:01:03,Derrick White,1,NA,NA,NA,0,2
30,play_4,pass,20:01:03,Derrick White,1,NA,NA,NA,0,2
31,play_4,pass,20:01:04,Al Horford,1,NA,NA,NA,0,2
32,play_4,dribble,20:01:05,Jaylen Brown,1,NA,NA,NA,0,2
33,play_4,pass,20:01:08,Jaylen Brown,1,NA,NA,NA,0,2
34,play_4,dribble,20:01:11,Jayson Tatum,1,NA,NA,NA,0,2
